127.0.0.1 - - [17/Feb/2017:21:46:55 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:46:58 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:05 +0800] "GET /struts2_demo_2017_02_17_01/emp-list HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:09 +0800] "GET /struts2_demo_2017_02_17_01/emp-delete?employeeId=4002 HTTP/1.1" 200 9217
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:36 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:36 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:36 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:36 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:38 +0800] "GET /struts2_demo_2017_02_17_01/emp-list HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:40 +0800] "GET /struts2_demo_2017_02_17_01/emp-delete?employeeId=4002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:47:40 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:48:11 +0800] "POST /struts2_demo_2017_02_17_01/emp-save.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:48:11 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:05 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:05 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:05 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:06 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:06 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:06 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:06 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:08 +0800] "GET /struts2_demo_2017_02_17_01/emp-list HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:11 +0800] "GET /struts2_demo_2017_02_17_01/emp-delete?employeeId=4003 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:11 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:31 +0800] "POST /struts2_demo_2017_02_17_01/emp-save.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:31 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:34 +0800] "GET /struts2_demo_2017_02_17_01/emp-delete?employeeId=1280687323 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:21:49:35 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2305
